[n]鱗莖, 球形物	,	bulb
[n]公牛, 粗壯如牛的人	,	bull
[n]子彈	,	bullet
[n]串, 束v.捆成一束	,	bunch
[n]擔子, 負擔；[v]負擔	,	burden
[n]夜賊	,	burglar
[vt]埋葬, 掩埋, 隱藏	,	bury
[n]矮樹叢, (機械)襯套	,	bush
[n]嗡嗡聲；[v]作嗡嗡聲, 嗡嗡作響, 逼近	,	buzz
[n]小屋, 船艙	,	cabin
[n]<美>校園, 大學教育	,	campus
[n]獨木舟, 輕舟	,	canoe
[n]<美>峽谷, 溪谷	,	canyon
[a]有能力的, 能幹的, 有可能的, 可以...的	,	capable
[n]首都, 首府, 大寫字母, 資本, 資金, 資產；[a]首都的, 重要的, 死罪的, 大寫的	,	capital
[n]捕獲, 戰利品；[vt]俘獲, 捕獲, 奪取	,	capture
[n]木匠	,	carpenter
[n]馬車, 客車, 運費, 姿態, （機械）車架	,	carriage
[v]投, 拋, 投射, 澆鑄, 計算, 派(角色)	,	cast
[a]偶然的, 不經意的, 臨時的	,	casual
[n]毛蟲	,	caterpillar
[n]牛, 家養牲畜	,	cattle
[v]慶祝, 祝賀, 表揚, 讚美, 舉行	,	celebrate
[n]厘米	,	centimeter
[n]鏈(條),鐐銬, 一連串, 一系列；[vt]用鏈條拴住	,	chain
[n]挑戰；[vt]向...挑戰	,	challenge
[n]冠軍, 擁護者, 戰士；[vt]擁護, 支持	,	champion
[a]可改變的	,	changeable
[n]海峽, 水道, 溝, 路線,頻道	,	channel
[n](書籍)章	,	chapter
[n]吸引力, (女人的)魔力, 魅力, 符咒；[vt]迷人, 使陶醉,	,	charm
[v]聊天；[n]聊天	,	chat
[n]頰, 厚顏, 類似頰的事物,	,	cheek
[n]愉快, 歡呼；[v](使)快活, (對)歡呼	,	cheer
[a]愉快的, 高興的	,	cheerful
[n]乾酪,	,	cheese
[n]櫻桃, 櫻桃樹, 如櫻桃的鮮紅色,	,	cherry
[n]胸腔, 胸膛, 箱, 櫃	,	chest
[vt]咀爵(食物等)；[v]咀嚼, 認真考慮	,	chew
[n]口香糖	,	chewing gum
[n]孩童時期	,	childhood
[n]寒意, 寒戰, 寒心；[a]寒冷的, 掃興的；	,	chill
[a]寒冷的	,	chilly
[n]煙囪, 燈罩	,	chimney
陶瓷, 瓷器, 瓷料	,	china
[v]窒息, 哽住, 使呼吸困難, 阻塞；[n]窒息, 阻氣門	,	choke
[n]砍, 排骨, 官印, 商標；[vt]剁碎, 砍, (風浪)突變	,	chop
[n]香煙, 紙煙	,	cigarette
[n]馬戲團, 雜技團, 馬戲場, 雜技場	,	circus
[a]全民的, 市民的, 公民的, 國民的,	,	civil
[a]古典的, 正統派的, 古典文學的	,	classical
[n]顧客, 客戶, 委託人	,	client
[n]門診部, 臨床	,	clinic
[n]夾子, 迴形針, 子彈夾；[vt]夾住, 剪短, 修剪	,	clip
[n]線索	,	clue
[n]雞尾酒, (第一道用杯盛的)開味食品；[a]雞尾酒的	,	cocktail
[n]椰子	,	coconut
抓住...的領口〔頭頸〕﹔ 給（衣服）上衣領﹔ 使戴項圈	,	collar
[n]收藏, 征收, 蒐集品, 捐款	,	collection
[n] 大學	,	college
[n]殖民地,	,	colony
[n]圓柱, 柱壯物, 專欄, 縱隊	,	column
[v](使)聯合, (使)結合；	,	combine
[n]安慰, 舒適, 安慰者；[vt]安慰, 使(痛苦等)緩和	,	comfort
[n]逗點, 逗號	,	comma
[n]命令, [v]命令, 指揮, 克制, 支配, 博得, 俯臨	,	command
[a]商業的, 貿易的	,	commercial
[n]委員會	,	committee
[v]溝通, 通信, (房間﹑道路﹑花園等)相通, 傳達, 感染	,	communicate
[n]比較, 對照, 比喻, 比較關係	,	comparison
[vi]比賽, 競爭	,	compete
[n]訴苦, 抱怨, 牢騷, 委屈, 疾病	,	complaint
[a]複雜的, 合成的, 綜合的；[n]聯合體	,	complex
[vt]涉及, 關係到；	,	concern
[n]音樂會, 一致	,	concert
[v]結束, 終止, 決定, 作出結論；[vt]推斷, 斷定, 締結, 議定	,	conclude
[n]結束, 締結, 結論	,	conclusion
[n]條件, 情形, 環境, 社會地位；	,	condition
[a]自信的, 確信的	,	confident
[vt]搞亂, 使糊塗	,	confuse
[v]連接, 聯合, 關連	,	connect
[n]連接, 關係, 接線, 線路, 親戚	,	connection
[a]有意識的, 有知覺的, 故意的, 羞怯的	,	conscious
[a]相當大(或多)的, 值得考慮的, 相當可觀的	,	considerable
[n]體諒, 考慮, 需要考慮的事項, 報酬	,	consideration
[n]常數, 恆量；[a]不變的, 持續的, 堅決的	,	constant
[n]大陸, 陸地	,	continent
[n]合同, 契約, 婚約；[v]使縮短, 感染, 訂約	,	contract
[n](文學)床, 睡椅 ；[v](用語言)表達	,	couch
[a]可計算的；[n]可數的東西, 可數名詞	,	countable
[n]懦弱的人, 膽小的人	,	coward
[n]搖籃, 發源地, 支船架；[vt]將...放在搖籃內	,	cradle
[n]碰撞, 墜落, 墜毀, 撞擊聲, 爆裂聲；[v]碰撞, 墜落, 墜毀,	,	crash
[vi]爬行, 蠕動, 徐徐行進；[n]爬行, 蠕動, 緩慢的行進	,	crawl
[a]創造性的	,	creative
[n] 創建者, 創作者	,	creator
[n]人, 動物, 傀儡, 創造物	,	creature
[n]信任, 信用, 聲望,；[vt]相信, 信任, 把...歸給	,	credit
[vi]爬, 躡手躡腳, 蔓延	,	creep
[n]全體人員, (工作)隊；[態]crow的過去式	,	crew
[n]蟋蟀, 板球	,	cricket
[n]罪犯, 犯罪者；[a]犯罪的, 犯法的, 罪惡的	,	criminal
[a]易碎的, 脆的,精神爽快的	,	crispy
[n]王冠, 花冠, 頂；[vt]加冕, 頂上有, 表彰, 使圓滿完成	,	crown
[a]文化的	,	cultural
[n]食櫥, 碗碟櫥	,	cupboard
[a]當前的, 通用的, 流通的, 現在的, 草寫的, 最近的	,	current
[n]週期, 循環, 自行車；[vi]循環, 輪轉, 騎自行車；	,	cycle
[n]牛奶場, 奶品場, 售牛奶, 奶油, 雞蛋等的商店, 奶製品	,	dairy
[n]水壩, 障礙；[v]控制, 筑壩	,	dam
[n]挑戰；[vi]敢, 膽敢；[vt]敢冒, 不懼	,	dare
[n]心愛的人, 親愛的	,	darling
[vi]猛擲, 衝撞；	,	dash
[n]經銷商, 商人	,	dealer
[n]十年, 十	,	decade
[n]行為, 事實, 功勣, 實行, 契約；[vt]立契轉讓(舊產等)	,	deed
[v]加深, 深化	,	deepen
[vt]定義, 詳細說明	,	define
[n]定義, 解說, 精確度, (輪廓影像等的)清晰度	,	definition
[n]遞送, 交付,	,	delivery
[n]民主政治, 民主主義	,	democracy
[a]民主的, 民主主義的, 民主政體的, 平民的	,	democratic
[n]存款, 押金, 保證金, 存放物；[vt]存放, 堆積；	,	deposit
[n]描寫, 記述, 形容, 種類, 描述	,	description
[n]陰謀家,設計家,製圖師	,	designer
[a]值得要的, 合意的, 令人想要的, 悅人心意的	,	desirable
[vt]破壞, 毀壞, 消滅；[v]消滅, 摧毀	,	destroy
[n]細節, 詳情；[vt]詳述, 細說	,	detail
[v]決定, 確定, 測定, 使下定決心, 使終止	,	determine
[n]魔鬼, 惡棍	,	devil
[n]對話	,	dialogue
[n]通常所吃的食物, 會議	,	diet
[a]勤勉的, 用功的, 細心而繼續不斷的	,	diligent
[n]污垢, 泥土	,	dirt
[vt]使失望	,	disappoint
[n]失望	,	disappointment
[n](=disk) 圓盤, 唱片；[vt]灌唱片	,	disc
[n]折扣	,	discount
[n]發現, 發明的東西	,	discovery
[n]疾病, 弊病	,	disease
[n](=disc) 磁盤, 磁碟片, 圓板, 圓盤, 圓盤狀物	,	disk
[vt]討厭, 不喜歡；[n]嫌惡	,	dislike
[vi]潛水, 跳水, 下潛, 俯衝；[n]潛水, 跳水, 下潛, 俯衝	,	dive
[v]避開, 躲避；	,	dodge
[a]家庭的, 國內的, 與人共處的, 馴服的	,	domestic
[a]可疑的, 不確的, 疑心的	,	doubtful
[a]戲劇性的, 生動的	,	dramatic
[n]水滴；[v](使)滴下	,	drip
[v]溺死, 淹死；[vt]淹沒	,	drown
[a]昏昏欲睡的, 催眠的, (街﹑市等)沉寂的	,	drowsy
[a]喝醉了的；[態]drink 的過去分詞	,	drunk
由於	,	due to
[vt]傾倒(垃圾), 傾卸；[n]堆存處	,	dump
[n]灰塵, 塵土, 塵埃；[vt]撣掉...上的灰塵, 撒糖于糕上	,	dust
[a]熱心于, 渴望著	,	eager
[n]所得,收入	,	earnings
[n]回聲, 回音, 回波	,	echo
[n]版本, 版	,	edition
[n]編輯, 編輯器, 編者	,	editor
[vt]教育, 訓練, 培養；[v]教育	,	educate
[a]教育的, 教育性的	,	educational
[a](直接)生效的, 有效率的, 能幹的	,	efficient
[n]肘	,	elbow
[a]過了中年的, 稍老的	,	elderly
[n]選舉, 當選, 選擇權, 上帝的選拔	,	election
[a]電的, 導電的, 電動的, 電氣	,	electric
[n]電流, 電, 電學	,	electricity
[a]電子的	,	electronic
[n]緊急情況, 突然事件, 非常時刻, 緊急事件	,	emergency
[n]皇帝, 君主	,	emperor
[vt]強調, 著重；[v]強調	,	emphasize
[vt]僱用, 用, 使用；[v]使用；[n]僱用	,	employ
[n]職工, 僱員, 店員	,	employee
[n]僱主, 老闆	,	employer
[n]僱用, 使用, 利用, 工作, 職業	,	employment
[a]空的, 空洞的, 空虛的；[vt]使成為空的, 倒空；[v]倒空；[a]空的,空閑的；[v]騰空, 騰出來	,	empty
[vt]使能夠, 授予權利或方法	,	enable
[a]精力充沛的, 積極的	,	energetic
[vt]使忙碌, 僱佣, 預定, 使從事于, 使參加；	,	engage
[n]約會, 婚約, 諾言, 交戰, 接站, 僱擁, 接合	,	engagement
[n]發動機, 機車, 火車頭	,	engine
[n]工程師, 技師, 火車司機, 輪機員, 工兵	,	engineer
[a]令人愉快的, 可享受的	,	enjoyable
[a]週圍的, 環境的；[n]環境論	,	environmental
[n]vt.羨慕, 嫉妒	,	envy
[vt]抹去, 擦掉, 消磁,	,	erase
[vi]逃脫, 避開, 溜走；[vt]逃避, 避免, 被忘掉	,	escape
[a]邪惡的, 帶來麻煩的, 不幸的, 有害的, 誹謗的；[n]邪惡, 不幸, 罪惡	,	evil
[n]優秀, 卓越, 優點, 美德	,	excellence
[vt]交換, 調換, 兌換, 交流, 交易	,	exchange
[n]表現, 展覽會, 展覽品, 顯示	,	exhibition
[n]存在, 實在, 生活, 存在物, 實在物	,	existence
[n]出口, 太平門, 退場, 去世	,	exit
[n]期待, 預料, 指望, 展望, 期望(值)	,	expectation
[n]費用, 代價, 損失, 開支, 費錢之物	,	expense
[n]實驗, 試驗；[vi]進行實驗, 做試驗	,	experiment
[vt]使爆炸；[vi]爆炸, 爆發, 破除, 推翻, 激發	,	explode
